,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
582,9,올림픽홀,문화예술행사,Youtube FanFest (부제 : 뮤직 & 라이브 페스티벌),20180222,2419.0,Thu
583,10,뮤즈라이브,문화예술행사,찬란한 청춘의 성장기 &lt;Golden Youth&gt; 정규 앨범 1st 콘서트,20171202,157.0,Sat
584,25,만남의광장,공공행사,GMF2017,20171009,534.0,Mon
585,5,핸드볼경기장,문화예술행사,서태지 25주년 앵콜 서울 콘서트(가제),20170929,2419.0,Fri
586,5,핸드볼경기장,문화예술행사,nepathya concert,20171004,2419.0,Wed
587,7,우리금융아트홀,대중공연,뮤지컬 소피루비 <샤르르 마을의 대축제 드림투어>,20170717,2419.0,Mon
588,5,핸드볼경기장,문화예술행사,10CM 콘서트 : 겨울편,20171224,2419.0,Sun
589,5,핸드볼경기장,문화예술행사,2017 B1A4 콘서트,20170204,2419.0,Sat
590,9,올림픽홀,대중공연,2017 제1회 한국가요살리기콘서트,20170825,2419.0,Fri
591,7,우리금융아트홀,문화예술행사,뮤서트 그사랑,20170626,534.0,Mon
592,5,핸드볼경기장,문화예술행사,2017 조이올팍 페스티벌,20170918,2419.0,Mon
593,8,K-아트홀,순수예술공연,상주단체<로미오와줄리엣>공연,20171113,60.0,Mon
594,3,KSPO DOME(체조경기장),문화예술행사,2018~2019 임창정 콘서트 “IMCHANGJUNG”,20190430,2419.0,Tue
595,9,올림픽홀,대중공연,2019 1st 윤지성 아시아팬미팅 인 서울,20190223,1235.0,Sat
596,9,올림픽홀,대중공연,EMK 뮤지컬 갈라콘서트,20190315,2419.0,Fri
597,9,올림픽홀,대중공연,2019 불타는 청춘 콘서트,20190322,2419.0,Fri
598,7,우리금융아트홀,대중공연,볼빨간 사춘기 콘서트,20170317,69.0,Fri
599,9,올림픽홀,대중공연,팬텀싱어 콘서트,20170417,2419.0,Mon
600,5,핸드볼경기장,문화예술행사,마이다스쇼킹콘서트 IN SEOUL,20170504,2419.0,Thu
601,9,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE (가제),20180627,2419.0,Wed
602,9,올림픽홀,대중공연,홈니버스: Homniverse 콘서트 (가제),20180530,2419.0,Wed
603,9,올림픽홀,대중공연,콘서트 좋은친구들,20171123,2419.0,Thu
604,7,우리금융아트홀,대중공연,뮤지컬 시크릿 쥬쥬 Finding Harmony Stone [기획대관료추가금),20170710,2419.0,Mon
605,9,올림픽홀,문화예술행사,Youtube FanFest (부제:뮤직&amp;라이브 페스티벌),20180222,2419.0,Thu
606,7,우리금융아트홀,대중공연,불한당:나쁜 놈들의 세상 영화상영,20170915,534.0,Fri
607,7,우리금융아트홀 연습실,문화예술행사,얼렁뚱땅색깔공장 / 헬로브릭,20170901,2419.0,Fri
608,9,올림픽홀,문화예술행사,제5회 대한민국 노래교실 회원의날,20171106,1235.0,Mon
609,5,핸드볼경기장,문화예술행사,어반자카파 겨울콘서트,20171215,2419.0,Fri
610,23,한얼광장,문화예술행사,뷰티풀 민트 라이프 2017 (Beautigul Mint Life 2017),20170509,2419.0,Tue
611,23,한얼광장,문화예술행사,국립오페라단 _평창문화올림픽 야외오페라 <동백꽃 아가씨>,20170807,2419.0,Mon
612,9,올림픽홀,문화예술행사,The Chainsmokers Live In Seoul,20170924,2419.0,Sun
613,9,올림픽홀,대중공연,루게릭 희망콘서트10 <아니벌써>,20170325,1235.0,Sat
614,9,올림픽홀,대중공연,AOMG 단독 콘서트,20170216,2250.0,Thu
615,5,핸드볼경기장,문화예술행사,Urban Concert with Lil Jon & Red Foo,20170421,2419.0,Fri
616,9,올림픽홀,대중공연,2017 Davit Garrett 내한공연,20170525,1235.0,Thu
617,5,핸드볼경기장,문화예술행사,2017 제1회 한국가요살리기콘서트,20170714,2419.0,Fri
618,9,올림픽홀,대중공연,BIG 단독 콘서트,20170622,2250.0,Thu
619,7,우리금융아트홀,문화예술행사,홀트 '영혼의 소리로'합창단 2017 정기공연,20171026,534.0,Thu
620,9,올림픽홀,대중공연,"Hiphop PARYY - 딘, 크러시, 자이언티 / DJ. DOC, 코요테 [복사본]",20170418,2419.0,Tue
621,9,올림픽홀,대중공연,"Hiphop PARYY - 딘, 크러시, 자이언티 / DJ. DOC, 코요테",20170418,2419.0,Tue
622,3,KSPO DOME(체조경기장),문화예술행사,Jessie J Live In Seoul,20190425,2419.0,Thu
623,10,뮤즈라이브,문화예술행사,셀럽티비 라이브데이 3회 공개방송,20181129,357.0,Thu
624,9,올림픽홀,대중공연,2019 사라브라이트만 내한공연,20190429,2250.0,Mon
625,7,우리금융아트홀,대중공연,NEW 뮤지컬 시크릿쥬쥬,20181119,534.0,Mon
626,7,우리금융아트홀,문화예술행사,가족뮤지컬 <신비아파트 고스트볼X의 탄생 Episode2>,20190107,2419.0,Mon
627,9,올림픽홀,문화예술행사,로맨틱 발렌타인데이 콘서트,20190208,2419.0,Fri
628,10,뮤즈라이브,문화예술행사,박학기 콘서트 <계절학기>,20181208,357.0,Sat
629,33,88호수수변무대,문화예술행사,2019 파크 뮤직 페스티벌,20190613,2419.0,Thu
630,9,올림픽홀,문화예술행사,제2회 한중국제영화제,20180902,2250.0,Sun
631,9,올림픽홀,문화예술행사,한국암웨이와 함께하는 가족 연말 콘서트,20181208,1235.0,Sat
632,3,KSPO DOME(체조경기장),문화예술행사,IBK 기업은행 참좋은 콘서트,20181002,2419.0,Tue
633,3,KSPO DOME(체조경기장),문화예술행사,2018 HIGHLIGHT 10th Anniversary concert IN SEOUL(가제),20181112,2419.0,Mon
634,21,88잔디마당,문화예술행사,2018 삼성카드 홀가분 마켓,20181003,,Wed
635,9,올림픽홀,문화예술행사,Stray Kids UNVEIL,20181021,2419.0,Sun
636,3,KSPO DOME(체조경기장),문화예술행사,ASTRO ... NOW,20180925,2419.0,Tue
637,10,뮤즈라이브,문화예술행사,제 2 회 코쿤밴드 콘서트,20181127,157.0,Tue
638,9,올림픽홀,대중공연,2018 이준기 아시아투어 콘서트 IN 서울,20181122,2250.0,Thu
639,25,만남의광장,공공행사,제4회제주농어촌체험페스티벌,20181004,2419.0,Thu
